event id	time of event (UTC)	dead time	decay time (ns)	1st chA height	1st chA position	1st chA integral	1st chB height	1st chB position	1st chB integral	1st chC height	1st chC position	1st chC integral	1st chD height	1st chD position	1st chD integral	2nd chA height	2nd chA position	2nd chA integral	2nd chB height	2nd chB position	2nd chB integral	2nd chC height	2nd chC position	2nd chC integral	2nd chD height	2nd chD position	2nd chD integral
172	1678811851920737.0	5.4693606589698935e-05	13292	343.98068	508	11503.376	445.94302	508	14129.845	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	356.52988	3831	11125.307	0.0	0	0.0
173	1678811853840749.5	0.00011821500801614479	11730	563.9456	510	19239.271	175.18149	509	4952.541	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	110.91287	3442	3536.194	0.0	0	0.0
175	1678811855130296.5	0.00022166249784523674	240	355.97626	508	11783.435	262.7799	508	8249.34	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	67.34436	568	1933.5735	0.0	0	0.0
177	1678811858172533.0	0.0001331692607415645	972	619.9403	509	20510.938	326.4948	509	10083.214	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	67.68271	752	2052.538	0.0	0	0.0	0.0	0	0.0
178	1678811860608397.5	9.415911069166915e-05	4382	279.98895	508	9375.307	370.27866	509	11429.836	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	233.72906	1604	6958.4185	0.0	0	0.0
180	1678811867805502.2	0.0004629561731563638	6544	619.9403	509	20295.205	981.7606	509	33653.84	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	83.615265	2145	2103.857	0.0	0	0.0	0.0	0	0.0
182	1678811871468911.0	9.202570847080813e-05	458	247.98535	507	8743.519	541.477	508	17367.62	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	218.98067	622	6968.609	0.0	0	0.0	0.0	0	0.0
183	1678811871860102.5	0.0005863065127561282	5376	599.9477	509	20303.092	593.2425	509	20091.02	0.0	0	0.0	0.0	0	0.0	231.99127	1853	7635.1704	234.91327	1853	7525.1714	0.0	0	0.0	0.0	0	0.0
185	1678811875280197.0	0.00022195012437100587	10276	979.96124	509	33842.758	497.6778	509	16529.393	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	95.54935	3078	3101.9536	0.0	0	0.0	0.0	0	0.0
186	1678811876744698.0	0.00015758863343141922	3226	275.99042	510	9191.236	441.9599	509	14843.906	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	362.32776	1316	11816.961	0.0	0	0.0	0.0	0	0.0
189	1678811884763847.0	0.00019493075544315308	638	207.98474	507	6270.9565	696.7581	508	22258.217	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	981.7606	667	40665.15	0.0	0	0.0	0.0	0	0.0
190	1678811885699327.5	0.0002701555815799769	4444	447.97305	509	15143.458	441.95987	509	13720.612	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	509.62723	1620	17491.088	0.0	0	0.0	0.0	0	0.0
