counter	timestamp	deadtime	chA_height	chA_position	chA_integral	chB_height	chB_position	chB_integral	chC_height	chC_position	chC_integral	chD_height	chD_position	chD_integral
93	1679327161854643.0	0.009324821891544478	451.09085	100	9.441207e-08	307.58942	100	6.381424e-08	238.62027	100	4.941828393554688e-08	218.36841	100	4.6900915e-08
94	1679327161872112.8	0.011399104356086308	442.56015	100	9.700452e-08	267.42673	100	5.6040065e-08	353.84705	100	7.685172460937502e-08	531.4228	100	1.11619364e-07
95	1679327161892867.5	0.00871534844147034	351.18417	100	7.70376e-08	407.31387	100	8.928254e-08	235.17584	100	4.991957983398437e-08	189.22333	100	3.976728e-08
96	1679327161928322.5	0.0075660012878300065	371.01282	100	7.736011e-08	629.20245	100	1.3079098e-07	0.0	0	0.0	363.55154	100	7.8801285e-08
97	1679327162000911.2	0.0031712543050187976	254.33914	100	5.567803e-08	202.56738	100	4.3064517e-08	447.63504	100	8.946346655273438e-08	191.7164	100	3.7615518e-08
98	1679327162009720.2	0.01357503290917069	312.5929	100	6.883637e-08	805.1761	100	1.686942e-07	435.61246	100	9.090075708007813e-08	539.99054	100	1.1341167e-07
99	1679327162048929.8	0.005916872787235074	440.96545	100	9.3248794e-08	624.23895	100	1.3099745e-07	487.3919	100	1.0161152636718751e-07	394.72864	100	8.243672e-08
100	1679327162090733.0	0.0055381912757802515	264.11206	100	5.515338e-08	382.3075	100	7.9987856e-08	291.4316	100	6.141262084960938e-08	284.9382	100	5.6822238e-08
101	1679327162103420.5	0.009651118695487296	409.062	100	8.5491166e-08	142.96725	100	2.8474238e-08	453.63303	100	9.5329607421875e-08	330.01236	100	6.627236e-08
103	1679327162119024.8	0.010765161709433436	415.27887	100	8.6888676e-08	299.56735	100	5.983119e-08	368.87704	100	7.693697485351563e-08	264.5741	100	5.5983172e-08
104	1679327162169195.0	0.0045742534875131404	375.08026	100	7.901496e-08	568.5953	100	1.1944142e-07	144.124	100	2.813505712890625e-08	449.12778	100	9.3250556e-08
105	1679327162190096.2	0.01104203501967718	230.6525	100	4.7564743e-08	0.0	0	0.0	328.79962	100	7.13493037109375e-08	390.6194	100	8.146876e-08
106	1679327162228932.8	0.005893475431574295	305.26474	100	6.431032e-08	295.07236	100	5.8844474e-08	323.43616	100	6.825270483398437e-08	271.64114	100	5.7729313e-08
107	1679327162292724.2	0.00371779159442817	169.75403	100	3.5614434e-08	319.34808	100	6.7068385e-08	388.44672	100	8.102058081054688e-08	323.5037	100	7.0781795e-08
109	1679327162406602.2	0.0028276011298708132	399.49155	100	8.285186e-08	245.47348	100	5.0837542e-08	258.06668	100	5.4232529541015625e-08	225.45456	100	4.675702e-08
110	1679327162537852.8	0.0017710817767492384	337.34497	100	7.092908e-08	155.04889	100	3.0938846e-08	192.01715	100	4.0056373046875e-08	326.7697	100	6.770455e-08
111	1679327162538734.8	0.1612503868771278	347.84354	100	7.6116265e-08	380.76715	100	7.970675e-08	477.92163	100	1.0019682055664063e-07	465.2125	100	9.820376e-08
112	1679327162542870.0	0.01209985315712188	371.2617	100	7.7875725e-08	666.52893	100	1.3953276e-07	524.54065	100	1.092068857421875e-07	426.53296	100	8.9435794e-08
113	1679327162563911.0	0.010628138727544405	357.3248	100	7.8333585e-08	319.6339	100	6.644789e-08	441.53525	100	9.270010766601563e-08	209.51935	100	4.3411053e-08
114	1679327162579956.5	0.014099783080260303	365.95288	100	7.686898e-08	490.58887	100	1.02508444e-07	257.29453	100	5.3862563476562495e-08	288.82812	100	5.985406e-08
115	1679327162600835.2	0.010916108110576977	247.81921	100	4.9659242e-08	431.76666	100	8.964483e-08	404.1745	100	8.4776275390625e-08	262.5136	100	5.4799795e-08
116	1679327162607858.2	0.006072026800670017	91.32678	100	1.8470159e-08	447.35706	100	9.459692e-08	894.11755	100	1.8731722216796874e-07	248.7842	100	5.4676033e-08
117	1679327162659630.5	0.004404558718273413	353.5439	100	7.68368e-08	398.20505	100	8.396545e-08	456.55365	100	9.499442041015625e-08	552.5682	100	1.15432535e-07
118	1679327162698767.5	0.005860422047858083	311.60144	100	6.454249e-08	350.8218	100	7.40746e-08	454.14127	100	9.518522656250001e-08	323.3866	100	6.7664814e-08
119	1679327162724639.2	0.008746382555160274	267.0992	100	5.543734e-08	457.5784	100	9.564831e-08	388.02356	100	8.075030029296876e-08	889.3723	100	1.8612079e-07
120	1679327162760486.8	0.006173003751696246	170.98383	100	3.3902264e-08	447.97318	100	9.333952e-08	0.0	0	0.0	0.0	0	0.0
121	1679327162775535.0	0.015154634277660771	732.72455	100	1.529662e-07	309.46158	100	6.5246624e-08	0.0	0	0.0	302.06036	100	6.3760595e-08
122	1679327162785629.5	0.006532651247688354	304.99686	100	6.4045906e-08	399.76868	100	8.369311e-08	0.0	0	0.0	0.0	0	0.0
123	1679327162816153.2	0.009780519561039123	470.4161	100	9.831891e-08	338.17688	100	7.1259066e-08	369.7434	100	8.095010595703126e-08	234.59015	100	4.8450616e-08
124	1679327162828120.5	0.022084540821425004	629.17444	100	1.3141894e-07	284.03604	100	5.9497914e-08	604.51227	100	1.2715754687500002e-07	200.3761	100	4.0385647e-08
125	1679327162830611.8	0.05055212237868504	365.22958	100	7.996067e-08	323.5744	100	6.810486e-08	320.0313	100	6.739160278320312e-08	428.58267	100	8.9402796e-08
126	1679327162835006.8	0.008754917714855655	476.81305	100	1.0013087e-07	273.66205	100	5.7687316e-08	317.0076	100	6.64802294921875e-08	312.97476	100	6.285634e-08
127	1679327162864763.2	0.0075388485543242895	476.88898	100	9.970388e-08	506.41653	100	1.0616222e-07	423.73538	100	8.835498608398438e-08	496.06238	100	1.0438556e-07
128	1679327162865645.2	0.1480099502487562	227.46509	100	4.7099725e-08	449.9849	100	9.392255e-08	151.70026	100	3.3656489257812504e-08	444.70676	100	9.23915e-08
129	1679327162919177.2	0.004310421443680122	415.8819	100	8.76824e-08	191.78241	100	4.031202e-08	349.71838	100	7.656549438476562e-08	489.17154	100	1.0160482e-07
